Orthogroup	JU1373.longest	NIC58.longest	PX356.longest	PX439.longest	PX506.protein	PX534.longest	c_brenneri.longest	c_briggsae.longest	c_elegans.longest	c_inopinata.protein	c_nigoni.longest	c_remanei_washu.longest	c_sinica.longest
OG0029317	JU1373.g4775.t1												
OG0029318	JU1373.g4779.t1												
OG0029319	JU1373.g4810.t1												
OG0029320	JU1373.g4817.t1												
OG0029321	JU1373.g4906.t1												
OG0029322	JU1373.g5071.t1												
OG0029323	JU1373.g5113.t1												
OG0029324	JU1373.g5138.t1												
OG0029325	JU1373.g5195.t1												
OG0029326	JU1373.g5226.t1												
OG0029327	JU1373.g5279.t1												
OG0029328	JU1373.g5518.t1												
OG0029329	JU1373.g5548.t1												
OG0029330	JU1373.g5698.t1												
OG0029331	JU1373.g5811.t1												
OG0029332	JU1373.g5859.t1												
OG0029333	JU1373.g6007.t1												
OG0029334	JU1373.g6008.t1												
OG0029335	JU1373.g8852.t1												
OG0029336	JU1373.g9015.t1												
OG0029337	JU1373.g9046.t1												
OG0029338	JU1373.g9116.t1												
OG0029339	JU1373.g9126.t1												
OG0029340	JU1373.g9354.t1												
OG0029341	JU1373.g9501.t1												
OG0029342	JU1373.g9502.t1												
OG0029343	JU1373.g9550.t1												
OG0029344	JU1373.g9560.t1												
OG0029345	JU1373.g9567.t1												
OG0029346	JU1373.g9715.t1												
OG0029347	JU1373.g9755.t1												
OG0029348	JU1373.g9782.t1												
OG0029349	JU1373.g9790.t1												
OG0029350	JU1373.g9814.t1												
OG0029351	JU1373.g9850.t1												
OG0029352	JU1373.g9934.t1												
OG0029353	JU1373.g10106.t1												
OG0029354	JU1373.g10204.t1												
OG0029355	JU1373.g10241.t1												
OG0029356	JU1373.g10276.t1												
OG0029357	JU1373.g10397.t1												
OG0029358	JU1373.g10398.t1												
OG0029359	JU1373.g10430.t1												
OG0029360	JU1373.g10454.t1												
OG0029361	JU1373.g10463.t1												
OG0029362	JU1373.g10481.t1												
OG0029363	JU1373.g10495.t1												
OG0029364	JU1373.g10554.t1												
OG0029365	JU1373.g10555.t1												
OG0029366	JU1373.g10608.t1												
OG0029367	JU1373.g10616.t1												
OG0029368	JU1373.g10774.t1												
OG0029369	JU1373.g10845.t1												
OG0029370	JU1373.g10848.t1												
OG0029371	JU1373.g10867.t1												
OG0029372	JU1373.g10869.t1												
OG0029373	JU1373.g6079.t1												
OG0029374	JU1373.g6080.t1												
OG0029375	JU1373.g6081.t1												
OG0029376	JU1373.g6082.t1												
OG0029377	JU1373.g6167.t1												
OG0029378	JU1373.g6397.t1												
OG0029379	JU1373.g6408.t1												
OG0029380	JU1373.g20712.t1												
OG0029381	JU1373.g12260.t1												
OG0029382	JU1373.g10962.t1												
OG0029383	JU1373.g10981.t1												
OG0029384	JU1373.g11002.t1												
OG0029385	JU1373.g11193.t1												
OG0029386	JU1373.g11651.t1												
OG0029387	JU1373.g11772.t1												
OG0029388	JU1373.g11813.t1												
OG0029389	JU1373.g20794.t1												
OG0029390	JU1373.g20818.t1												
OG0029391	JU1373.g12798.t1												
OG0029392	JU1373.g12803.t1												
OG0029393	JU1373.g12833.t1												
OG0029394	JU1373.g93.t1												
OG0029395	JU1373.g172.t1												
OG0029396	JU1373.g214.t1												
OG0029397	JU1373.g218.t1												
OG0029398	JU1373.g221.t1												
OG0029399	JU1373.g241.t1												
OG0029400	JU1373.g258.t1												
OG0029401	JU1373.g259.t1												
OG0029402	JU1373.g366.t1												
OG0029403	JU1373.g581.t1												
OG0029404	JU1373.g696.t1												
OG0029405	JU1373.g736.t1												
OG0029406	JU1373.g739.t1												
OG0029407	JU1373.g746.t1												
OG0029408	JU1373.g905.t1												
OG0029409	JU1373.g968.t1												
OG0029410	JU1373.g1000.t1												
OG0029411	JU1373.g7908.t1												
OG0029412	JU1373.g7988.t1												
OG0029413	JU1373.g8003.t1												
OG0029414	JU1373.g8021.t1												
OG0029415	JU1373.g8033.t1												
OG0029416	JU1373.g8039.t1												
OG0029417	JU1373.g8059.t1												
OG0029418	JU1373.g8121.t1												
OG0029419	JU1373.g8148.t1												
OG0029420	JU1373.g8306.t1												
OG0029421	JU1373.g8315.t1												
OG0029422	JU1373.g8481.t1												
OG0029423	JU1373.g8512.t1												
OG0029424	JU1373.g8548.t1												
OG0029425	JU1373.g8551.t1												
OG0029426	JU1373.g8594.t1												
OG0029427	JU1373.g8672.t1												
OG0029428	JU1373.g8811.t1												
OG0029429	JU1373.g2204.t1												
OG0029430	JU1373.g2215.t1												
OG0029431	JU1373.g2275.t1												
OG0029432	JU1373.g2281.t1												
OG0029433	JU1373.g2296.t1												
OG0029434	JU1373.g3068.t1												
OG0029435	JU1373.g3310.t1												
OG0029436	JU1373.g3366.t1												
OG0029437	JU1373.g3390.t1												
OG0029438	JU1373.g3546.t1												
OG0029439	JU1373.g3595.t1												
OG0029440	JU1373.g3662.t1												
OG0029441	JU1373.g2021.t1												
OG0029442	JU1373.g16926.t1												
OG0029443	JU1373.g16958.t1												
OG0029444	JU1373.g17036.t1												
OG0029445	JU1373.g12987.t1												
OG0029446	JU1373.g13117.t1												
OG0029447	JU1373.g13532.t1												
OG0029448	JU1373.g20247.t1												
OG0029449	JU1373.g20266.t1												
OG0029450	JU1373.g20295.t1												
OG0029451	JU1373.g20306.t1												
OG0029452	JU1373.g20308.t1												
OG0029453	JU1373.g14892.t1												
OG0029454	JU1373.g14896.t1												
OG0029455	JU1373.g6911.t1												
OG0029456	JU1373.g6935.t1												
OG0029457	JU1373.g6945.t1												
OG0029458	JU1373.g6957.t1												
OG0029459	JU1373.g7003.t1												
OG0029460	JU1373.g7011.t1												
OG0029461	JU1373.g7018.t1												
OG0029462	JU1373.g7023.t1												
OG0029463	JU1373.g7107.t1												
OG0029464	JU1373.g7380.t1												
OG0029465	JU1373.g7410.t1												
OG0029466	JU1373.g7460.t1												
OG0029467	JU1373.g7469.t1												
OG0029468	JU1373.g7473.t1												
OG0029469	JU1373.g7508.t1												
OG0029470	JU1373.g7540.t1												
OG0029471	JU1373.g7541.t1												
OG0029472	JU1373.g7545.t1												
OG0029473	JU1373.g7564.t1												
OG0029474	JU1373.g7612.t1												
OG0029475	JU1373.g7758.t1												
OG0029476	JU1373.g7826.t1												
OG0029477	JU1373.g7861.t1												
OG0029478	JU1373.g7862.t1												
OG0029479	JU1373.g7863.t1												
OG0029480	JU1373.g7864.t1												
OG0029481	JU1373.g13812.t1												
OG0029482	JU1373.g13908.t1												
OG0029483	JU1373.g13955.t1												
OG0029484	JU1373.g13973.t1												
OG0029485	JU1373.g14001.t1												
OG0029486	JU1373.g14123.t1												
OG0029487	JU1373.g14231.t1												
OG0029488	JU1373.g14240.t1												
OG0029489	JU1373.g14245.t1												
OG0029490	JU1373.g14262.t1												
OG0029491	JU1373.g14334.t1												
OG0029492	JU1373.g14335.t1												
OG0029493	JU1373.g14337.t1												
OG0029494	JU1373.g14349.t1												
OG0029495	JU1373.g14517.t1												
OG0029496	JU1373.g14798.t1												
OG0029497	JU1373.g14840.t1												
OG0029498	JU1373.g6433.t1												
OG0029499	JU1373.g6471.t1												
OG0029500	JU1373.g6584.t1												
OG0029501	JU1373.g6678.t1												
OG0029502	JU1373.g6764.t1												
OG0029503	JU1373.g12063.t1												
OG0029504	JU1373.g12087.t1												
OG0029505	JU1373.g12089.t1												
OG0029506	JU1373.g12258.t1												
OG0029507	JU1373.g12334.t1												
OG0029508	JU1373.g12375.t1												
OG0029509	JU1373.g12422.t1												
OG0029510	JU1373.g12423.t1												
OG0029511	JU1373.g12429.t1												
OG0029512	JU1373.g12435.t1												
OG0029513	JU1373.g12450.t1												
OG0029514	JU1373.g12458.t1												
OG0029515	JU1373.g12472.t1												
OG0029516	JU1373.g12498.t1												
OG0029517	JU1373.g12547.t1												
OG0029518	JU1373.g12599.t1												
OG0029519	JU1373.g12614.t1												
OG0029520	JU1373.g12666.t1												
OG0029521	JU1373.g12697.t1												
OG0029522	JU1373.g12750.t1												
OG0029523	JU1373.g18189.t1												
OG0029524	JU1373.g18321.t1												
OG0029525	JU1373.g18450.t1												
OG0029526	JU1373.g18647.t1												
OG0029527	JU1373.g18756.t1												
OG0029528	JU1373.g18828.t1												
OG0029529	JU1373.g18935.t1												
OG0029530	JU1373.g18958.t1												
OG0029531	JU1373.g18973.t1												
OG0029532	JU1373.g18992.t1												
OG0029533	JU1373.g19032.t1												
OG0029534	JU1373.g19102.t1												
OG0029535	JU1373.g19217.t1												
OG0029536	JU1373.g19301.t1												
OG0029537	JU1373.g19599.t1												
OG0029538		NIC58.g69.t1											
OG0029539		NIC58.g70.t1											
OG0029540		NIC58.g158.t1											
OG0029541		NIC58.g160.t1											
OG0029542		NIC58.g486.t1											
OG0029543		NIC58.g802.t1											
OG0029544		NIC58.g878.t1											
OG0029545		NIC58.g909.t1											
OG0029546		NIC58.g930.t1											
OG0029547		NIC58.g1532.t1											
OG0029548		NIC58.g1845.t1											
OG0029549		NIC58.g2196.t1											
OG0029550		NIC58.g2363.t1											
OG0029551		NIC58.g2373.t1											
OG0029552		NIC58.g2973.t1											
OG0029553		NIC58.g3002.t1											
OG0029554		NIC58.g3031.t1											
OG0029555		NIC58.g3150.t1											
OG0029556		NIC58.g3223.t1											
OG0029557		NIC58.g3323.t1											
OG0029558		NIC58.g3528.t1											
OG0029559		NIC58.g3538.t1											
OG0029560		NIC58.g3601.t1											
OG0029561		NIC58.g4171.t1											
OG0029562		NIC58.g4178.t1											
OG0029563		NIC58.g4325.t1											
OG0029564		NIC58.g4441.t1											
OG0029565		NIC58.g4464.t1											
OG0029566		NIC58.g4571.t1											
OG0029567		NIC58.g14188.t1											
OG0029568		NIC58.g14191.t1											
OG0029569		NIC58.g14226.t1											
OG0029570		NIC58.g14230.t1											
OG0029571		NIC58.g14245.t1											
OG0029572		NIC58.g14256.t1											
OG0029573		NIC58.g14257.t1											
OG0029574		NIC58.g14258.t1											
OG0029575		NIC58.g14264.t1											
OG0029576		NIC58.g14270.t1											
OG0029577		NIC58.g14282.t1											
OG0029578		NIC58.g14283.t1											
OG0029579		NIC58.g14284.t1											
OG0029580		NIC58.g14289.t1											
OG0029581		NIC58.g14294.t1											
OG0029582		NIC58.g14325.t1											
OG0029583		NIC58.g14347.t1											
OG0029584		NIC58.g14372.t1											
OG0029585		NIC58.g14388.t1											
OG0029586		NIC58.g14428.t1											
OG0029587		NIC58.g14442.t1											
OG0029588		NIC58.g14469.t1											
OG0029589		NIC58.g14471.t1											
OG0029590		NIC58.g14472.t1											
OG0029591		NIC58.g14525.t1											
OG0029592		NIC58.g14567.t1											
OG0029593		NIC58.g14573.t1											
OG0029594		NIC58.g14590.t1											
OG0029595		NIC58.g14594.t1											
OG0029596		NIC58.g14597.t1											
OG0029597		NIC58.g14617.t1											
OG0029598		NIC58.g14618.t1											
OG0029599		NIC58.g14625.t1											
OG0029600		NIC58.g14627.t1											
OG0029601		NIC58.g14698.t1											
OG0029602		NIC58.g14739.t1											
OG0029603		NIC58.g14762.t1											
OG0029604		NIC58.g14789.t1											
OG0029605		NIC58.g14790.t1											
OG0029606		NIC58.g14792.t1											
OG0029607		NIC58.g14839.t1											
OG0029608		NIC58.g14860.t1											
OG0029609		NIC58.g14874.t1											
OG0029610		NIC58.g14927.t1											
OG0029611		NIC58.g14961.t1											
OG0029612		NIC58.g15004.t1											
OG0029613		NIC58.g15092.t1											
OG0029614		NIC58.g15101.t1											
OG0029615		NIC58.g15253.t1											
OG0029616		NIC58.g15483.t1											
OG0029617		NIC58.g15484.t1											
OG0029618		NIC58.g15485.t1											
OG0029619		NIC58.g15486.t1											
OG0029620		NIC58.g15487.t1											
OG0029621		NIC58.g15488.t1											
OG0029622		NIC58.g15489.t1											
OG0029623		NIC58.g15490.t1											
OG0029624		NIC58.g15491.t1											
OG0029625		NIC58.g15492.t1											
OG0029626		NIC58.g15493.t1											
OG0029627		NIC58.g15494.t1											
OG0029628		NIC58.g15495.t1											
OG0029629		NIC58.g15532.t1											
OG0029630		NIC58.g15588.t1											
OG0029631		NIC58.g15589.t1											
OG0029632		NIC58.g15590.t1											
OG0029633		NIC58.g15627.t1											
OG0029634		NIC58.g15788.t1											
OG0029635		NIC58.g15807.t1											
OG0029636		NIC58.g15909.t1											
OG0029637		NIC58.g15975.t1											
OG0029638		NIC58.g15991.t1											
OG0029639		NIC58.g15992.t1											
OG0029640		NIC58.g16175.t1											
OG0029641		NIC58.g16179.t1											
OG0029642		NIC58.g16316.t1											
OG0029643		NIC58.g16322.t1											
OG0029644		NIC58.g16364.t1											
OG0029645		NIC58.g16365.t1											
OG0029646		NIC58.g16370.t1											
OG0029647		NIC58.g16403.t1											
OG0029648		NIC58.g16498.t1											
OG0029649		NIC58.g16499.t1											
OG0029650		NIC58.g16538.t1											
OG0029651		NIC58.g16561.t1											
OG0029652		NIC58.g16687.t1											
OG0029653		NIC58.g16719.t1											
OG0029654		NIC58.g16723.t1											
OG0029655		NIC58.g16744.t1											
OG0029656		NIC58.g16745.t1											
OG0029657		NIC58.g16791.t1											
OG0029658		NIC58.g16816.t1											
OG0029659		NIC58.g16840.t1											
OG0029660		NIC58.g16841.t1											
OG0029661		NIC58.g16873.t1											
OG0029662		NIC58.g16884.t1											
OG0029663		NIC58.g16935.t1											
OG0029664		NIC58.g17036.t1											
OG0029665		NIC58.g17102.t1											
OG0029666		NIC58.g17255.t1											
OG0029667		NIC58.g17375.t1											
OG0029668		NIC58.g17398.t1											
OG0029669		NIC58.g17479.t1											
OG0029670		NIC58.g17497.t1											
OG0029671		NIC58.g17512.t1											
OG0029672		NIC58.g17517.t1											
OG0029673		NIC58.g17518.t1											
OG0029674		NIC58.g17530.t1											
OG0029675		NIC58.g17533.t1											
OG0029676		NIC58.g17535.t1											
OG0029677		NIC58.g17540.t1											
OG0029678		NIC58.g17542.t1											
OG0029679		NIC58.g17636.t1											
OG0029680		NIC58.g17649.t1											
OG0029681		NIC58.g17820.t1											
OG0029682		NIC58.g17825.t1											
OG0029683		NIC58.g17828.t1											
OG0029684		NIC58.g17829.t1											
OG0029685		NIC58.g17844.t1											
OG0029686		NIC58.g17895.t1											
OG0029687		NIC58.g17913.t1											
OG0029688		NIC58.g17916.t1											
OG0029689		NIC58.g17917.t1											
OG0029690		NIC58.g17926.t1											
OG0029691		NIC58.g17938.t1											
OG0029692		NIC58.g11185.t1											
OG0029693		NIC58.g11347.t1											
OG0029694		NIC58.g11412.t1											
OG0029695		NIC58.g11489.t1											
OG0029696		NIC58.g11576.t1											
OG0029697		NIC58.g11586.t1											
OG0029698		NIC58.g11588.t1											
OG0029699		NIC58.g11612.t1											
OG0029700		NIC58.g11714.t1											
OG0029701		NIC58.g11927.t1											
OG0029702		NIC58.g11938.t1											
OG0029703		NIC58.g11955.t1											
OG0029704		NIC58.g12143.t1											
OG0029705		NIC58.g12144.t1											
OG0029706		NIC58.g12145.t1											
OG0029707		NIC58.g12170.t1											
OG0029708		NIC58.g12495.t1											
OG0029709		NIC58.g12513.t1											
OG0029710		NIC58.g13259.t1											
OG0029711		NIC58.g13428.t1											
OG0029712		NIC58.g13434.t1											
OG0029713		NIC58.g13507.t1											
OG0029714		NIC58.g13548.t1											
OG0029715		NIC58.g13552.t1											
OG0029716		NIC58.g13562.t1											
OG0029717		NIC58.g13567.t1											
OG0029718		NIC58.g13572.t1											
OG0029719		NIC58.g13582.t1											
OG0029720		NIC58.g13592.t1											
OG0029721		NIC58.g13628.t1											
OG0029722		NIC58.g13649.t1											
OG0029723		NIC58.g13656.t1											
OG0029724		NIC58.g13734.t1											
OG0029725		NIC58.g13811.t1											
OG0029726		NIC58.g13965.t1											
OG0029727		NIC58.g13974.t1											
OG0029728		NIC58.g13996.t1											
OG0029729		NIC58.g18028.t1											
OG0029730		NIC58.g18200.t1											
OG0029731		NIC58.g18266.t1											
OG0029732		NIC58.g18561.t1											
OG0029733		NIC58.g18566.t1											
OG0029734		NIC58.g18568.t1											
OG0029735		NIC58.g18705.t1											
OG0029736		NIC58.g18730.t1											
OG0029737		NIC58.g18809.t1											
OG0029738		NIC58.g18820.t1											
OG0029739		NIC58.g18822.t1											
OG0029740		NIC58.g18823.t1											
OG0029741		NIC58.g18830.t1											
OG0029742		NIC58.g18848.t1											
OG0029743		NIC58.g19093.t1											
OG0029744		NIC58.g19094.t1											
OG0029745		NIC58.g19152.t1											
OG0029746		NIC58.g19153.t1											
OG0029747		NIC58.g19154.t1											
OG0029748		NIC58.g19614.t1											
OG0029749		NIC58.g19959.t1											
OG0029750		NIC58.g20246.t1											
OG0029751		NIC58.g20679.t1											
OG0029752		NIC58.g20698.t1											
OG0029753		NIC58.g20728.t1											
OG0029754		NIC58.g20752.t1											
OG0029755		NIC58.g20869.t1											
OG0029756		NIC58.g20885.t1											
OG0029757		NIC58.g20931.t1											
OG0029758		NIC58.g20973.t1											
OG0029759		NIC58.g21012.t1											
OG0029760		NIC58.g21052.t1											
OG0029761		NIC58.g21126.t1											
OG0029762		NIC58.g4787.t1											
OG0029763		NIC58.g4881.t1											
OG0029764		NIC58.g4967.t1											
OG0029765		NIC58.g5079.t1											
OG0029766		NIC58.g5117.t1											
OG0029767		NIC58.g5340.t1											
OG0029768		NIC58.g5423.t1											
OG0029769		NIC58.g5494.t1											
OG0029770		NIC58.g5518.t1											
OG0029771		NIC58.g5574.t1											
OG0029772		NIC58.g6160.t1											
OG0029773		NIC58.g6718.t1											
OG0029774		NIC58.g7329.t1											
OG0029775		NIC58.g7338.t1											
OG0029776		NIC58.g7367.t1											
OG0029777		NIC58.g7540.t1											
OG0029778		NIC58.g7581.t1											
OG0029779		NIC58.g7656.t1											
OG0029780		NIC58.g7866.t1											
OG0029781		NIC58.g7931.t1											
OG0029782		NIC58.g7937.t1											
OG0029783		NIC58.g7971.t1											
OG0029784		NIC58.g8173.t1											
OG0029785		NIC58.g8309.t1											
OG0029786		NIC58.g8321.t1											
OG0029787		NIC58.g8356.t1											
OG0029788		NIC58.g8603.t1											
OG0029789		NIC58.g8639.t1											
OG0029790		NIC58.g8841.t1											
OG0029791		NIC58.g8842.t1											
OG0029792		NIC58.g8844.t1											
OG0029793		NIC58.g8847.t1											
OG0029794		NIC58.g8849.t1											
OG0029795		NIC58.g8862.t1											
OG0029796		NIC58.g9966.t1											
OG0029797		NIC58.g10124.t1											
OG0029798		NIC58.g10353.t1											
OG0029799		NIC58.g10393.t1											
OG0029800		NIC58.g10491.t1											
OG0029801		NIC58.g10506.t1											
OG0029802		NIC58.g10509.t1											
OG0029803		NIC58.g10549.t1											
OG0029804		NIC58.g10624.t1											
OG0029805		NIC58.g10820.t1											
OG0029806		NIC58.g10921.t1											
OG0029807		NIC58.g11030.t1											
OG0029808		NIC58.g11069.t1											
OG0029809		NIC58.g11074.t1											
OG0029810		NIC58.g11089.t1											
OG0029811			356_jg23395.t1										
OG0029812			356_jg23471.t1										
OG0029813			356_jg23559.t1										
OG0029814			356_jg46.t1										
OG0029815			356_jg9699.t1										
OG0029816			356_jg9769.t1										
OG0029817			356_jg10202.t1										
OG0029818			356_jg10242.t1										
OG0029819			356_jg10263.t1										
OG0029820			356_jg10379.t1										
OG0029821			356_jg10479.t1										
OG0029822			356_jg10606.t1										
OG0029823			356_jg10631.t1										
OG0029824			356_jg10691.t1										
OG0029825			356_jg56.t1										
OG0029826			356_jg14774.t1										
OG0029827			356_jg14787.t1										
OG0029828			356_jg14866.t1										
OG0029829			356_jg14890.t1										
OG0029830			356_jg14900.t1										
OG0029831			356_jg14901.t1										
OG0029832			356_jg14931.t1										
OG0029833			356_jg14937.t1										
OG0029834			356_jg14938.t1										
OG0029835			356_jg14959.t1										
OG0029836			356_jg14980.t1										
OG0029837			356_jg15000.t1										
OG0029838			356_jg15065.t1										
OG0029839			356_jg15068.t1										
OG0029840			356_jg15104.t1										
OG0029841			356_jg15123.t1										
OG0029842			356_jg15170.t1										
OG0029843			356_jg15306.t1										
OG0029844			356_jg15535.t1										
OG0029845			356_jg15577.t1										
OG0029846			356_jg15670.t1										
OG0029847			356_jg16083.t1										
OG0029848			356_20702_t										
OG0029849			356_jg16773.t1										
OG0029850			356_jg16824.t1										
OG0029851			356_jg16898.t1										
OG0029852			356_jg16961.t1										
OG0029853			356_jg16983.t1										
OG0029854			356_jg17052.t1										
OG0029855			356_jg23417.t1										
OG0029856			356_jg23420.t1										
OG0029857			356_jg23441.t1										
OG0029858			356_jg23946.t1										
OG0029859			356_jg3685.t1										
OG0029860			356_jg3955.t1										
OG0029861			356_jg4023.t1										
OG0029862			356_jg4292.t1										
OG0029863			356_jg4767.t1										
OG0029864			356_jg4829.t1										
OG0029865			356_jg5713.t1										
OG0029866			356_jg5744.t1										
OG0029867			356_jg5781.t1										
OG0029868			356_jg8438.t1										
OG0029869			356_3544_t										
OG0029870			356_jg2296.t1										
OG0029871			356_jg23351.t1										
OG0029872			356_17217_t										
OG0029873			356_jg11267.t1										
OG0029874			356_17395_t										
OG0029875			356_jg12325.t1										
OG0029876			356_jg12598.t1										
OG0029877			356_jg12683.t1										
OG0029878			356_jg12974.t1										
OG0029879			356_jg13182.t1										
OG0029880			356_jg13183.t1										
OG0029881			356_jg13184.t1										
OG0029882			356_jg13238.t1										
OG0029883			356_jg13274.t1										
OG0029884			356_jg13306.t1										
OG0029885			356_jg23602.t1										
OG0029886			356_jg23607.t1										
OG0029887			356_jg23608.t1										
OG0029888			356_jg23197.t1										
OG0029889			356_jg23204.t1										
OG0029890			356_jg5935.t1										
OG0029891			356_jg5940.t1										
OG0029892			356_jg5944.t1										
OG0029893			356_jg5954.t1										
OG0029894			356_jg5959.t1										
OG0029895			356_jg5985.t1										
OG0029896			356_jg6034.t1										
OG0029897			356_jg6086.t1										
OG0029898			356_jg6148.t1										
OG0029899			356_jg6151.t1										
OG0029900			356_jg6179.t1										
OG0029901			356_jg6181.t1										
OG0029902			356_jg6212.t1										
OG0029903			356_jg6215.t1										
OG0029904			356_jg6225.t1										
OG0029905			356_jg6511.t1										
OG0029906			356_22771_t										
OG0029907			356_jg6748.t1										
OG0029908			356_jg6788.t1										
OG0029909			356_jg6857.t1										
OG0029910			356_jg6877.t1										
OG0029911			356_jg6915.t1										
OG0029912			356_jg7039.t1										
OG0029913			356_jg7910.t1										
OG0029914			356_jg8147.t1										
OG0029915			356_jg8312.t1										
OG0029916			356_jg8316.t1										
OG0029917			356_jg8358.t1										
OG0029918			356_jg8409.t1										
OG0029919			356_jg2453.t1										
OG0029920			356_jg2466.t1										
OG0029921			356_jg2548.t1										
OG0029922			356_jg2585.t1										
OG0029923			356_jg2659.t1										
OG0029924			356_jg2695.t1										
OG0029925			356_jg2697.t1										
OG0029926			356_jg2750.t1										
OG0029927			356_jg2758.t1										
OG0029928			356_jg1595.t1										
OG0029929			356_jg1764.t1										
OG0029930			356_jg23765.t1										
OG0029931			356_jg23767.t1										
OG0029932			356_jg23785.t1										
OG0029933			356_jg23928.t1										
OG0029934			356_jg18003.t1										
OG0029935			356_jg18111.t1										
OG0029936			356_jg18197.t1										
OG0029937			356_jg18207.t1										
OG0029938			356_jg18277.t1										
OG0029939			356_jg18330.t3										
OG0029940			356_jg18350.t1										
OG0029941			356_jg18378.t1										
OG0029942			356_jg18464.t1										
OG0029943			356_jg282.t1										
OG0029944			356_jg305.t1										
OG0029945			356_jg374.t1										
OG0029946			356_jg469.t1										
OG0029947			356_jg520.t1										
OG0029948			356_jg536.t1										
OG0029949			356_jg553.t1										
OG0029950			356_jg596.t1										
OG0029951			356_jg856.t1										
OG0029952			356_jg1266.t1										
OG0029953			356_jg1325.t1										
OG0029954			356_jg1371.t1										
OG0029955			356_jg1495.t1										
OG0029956			356_jg1530.t1										
OG0029957			356_jg1567.t1										
OG0029958			356_jg27.t1										
OG0029959			356_jg8667.t1										
OG0029960			356_jg8753.t1										
OG0029961			356_jg8831.t1										
OG0029962			356_jg8848.t1										
OG0029963			356_jg8854.t1										
OG0029964			356_jg9032.t1										
OG0029965			356_jg9240.t1										
OG0029966			356_jg9326.t1										
OG0029967			356_jg14483.t1										
OG0029968			356_jg14660.t1										
OG0029969			356_jg14674.t1										
OG0029970			356_jg14689.t1										
OG0029971			356_jg13663.t1										
OG0029972			356_jg13702.t1										
OG0029973			356_jg13714.t1										
OG0029974			356_jg13774.t1										
OG0029975			356_jg13992.t1										
OG0029976			356_jg14080.t1										
OG0029977			356_jg14200.t1										
OG0029978			356_jg21383.t1										
OG0029979			356_jg21417.t1										
OG0029980			356_jg21601.t1										
OG0029981			356_jg22098.t1										
OG0029982			356_jg22208.t1										
OG0029983			356_jg22332.t1										
OG0029984			356_jg22421.t1										
OG0029985			356_jg22479.t1										
OG0029986			356_jg22703.t1										
OG0029987			356_jg22785.t1										
OG0029988			356_jg22823.t1										
OG0029989			356_jg22918.t1										
OG0029990			356_jg22947.t1										
OG0029991			356_jg22956.t1										
OG0029992			356_jg22985.t1										
OG0029993			356_jg23038.t1										
OG0029994			356_jg23053.t1										
OG0029995			356_jg5856.t1										
OG0029996			356_jg5870.t1										
OG0029997			356_jg23388.t1										
OG0029998			356_jg23394.t1										
OG0029999			356_jg2833.t1										
OG0030000			356_jg2835.t1										
OG0030001			356_jg2836.t1										
OG0030002			356_jg2864.t1										
OG0030003			356_jg2894.t1										
OG0030004			356_jg2904.t1										
OG0030005			356_jg2911.t1										
